LIFNR,NAME1,MATNR,MAKTX,Allocated_Quantity,EffectiveCostPerUnit_USD,Optimized_Total_Effective_Cost_for_Combo,AvgUnitPriceUSD_raw
82,BeSafe Inc,8961,ECR-SENSOR,720.7296,352.4857,254046.8917,318.0000
85,BeSafe Inc,8961,ECR-SENSOR,663.2704,329.2836,218404.0519,322.5000
42,"LabSupply, Inc",4782,ECR-ZFRAME,873.0000,497.9233,434687.0409,440.1250
71,AdvertOne,7458,EMN-BRAKES,844.8762,412.2483,348298.7565,383.0000
74,AdvertOne,7458,EMN-BRAKES,32.1753,452.4335,14557.1614,417.0000
76,AdvertOne,7458,EMN-BRAKES,709.9486,437.4132,310540.8890,413.0000
54,UtilitiesOne,5901,EMN-HANDLE,281.5086,255.4676,71916.3264,237.1250
55,UtilitiesOne,5901,EMN-HANDLE,373.4357,255.4400,95390.4254,237.1250
58,UtilitiesOne,5901,EMN-HANDLE,549.0557,248.6436,136519.1784,237.1250
14,EV Parts Inc.,1385,EMN-MOTOR,1063.8630,375.5330,399515.6640,338.0000
15,EV Parts Inc.,1385,EMN-MOTOR,594.0860,424.4114,252136.8880,320.0000
24,WaveCrest Labs,1385,EMN-MOTOR,298.6277,357.7529,106834.9257,335.0000
26,WaveCrest Labs,1385,EMN-MOTOR,883.9074,379.2063,335183.2547,351.0000
33,"TechGroup, Inc",1385,EMN-MOTOR,761.8418,398.4633,303566.0097,363.0000
34,"TechGroup, Inc",1385,EMN-MOTOR,1072.6740,376.2560,403600.0285,345.0000
63,"AdminSupply, Inc",6347,EMN-THROTTLE,347.8564,328.1721,114156.7653,308.0000
66,"AdminSupply, Inc",6347,EMN-THROTTLE,729.1436,292.7694,213470.9343,279.0000
